Production_Year,States_In_Number,Variety_Rank,Modal Price
2010,8,67,3391.8488543997596
2010,9,9,4580.0
2010,9,57,3775.2489813854213
2010,9,65,3336.7396070017303
2010,9,70,3740.3397303871348
2010,10,9,3965.25
2010,10,23,4218.992424242424
2010,10,24,2802.6111111111113
2010,10,57,3731.3733742034537
2010,10,65,3273.443764251553
2010,10,66,3033.0
2010,10,70,3700.885748924714
2011,0,15,4288.541666666667
2011,0,29,4575.0
2011,0,56,4750.0
2011,0,57,4054.754385964912
2011,1,6,3150.0
2011,1,9,4312.73838603814
2011,1,15,4500.0
2011,1,19,3237.5
2011,1,20,3434.75
2011,1,21,3500.0
2011,1,25,3000.0
2011,1,27,3737.5
2011,1,29,4306.0761364474465
2011,1,35,3483.333333333333
2011,1,42,3460.0
2011,1,44,3166.6666666666665
2011,1,45,4030.0
2011,1,51,3000.0
2011,1,52,3700.0
2011,1,53,3950.0
2011,1,54,3050.0
2011,1,56,4040.4919599056507
2011,1,57,3480.6295805449026
2011,1,63,3200.0
2011,1,65,3693.06513081513
2011,1,71,3525.0
2011,1,86,4900.0
2011,2,29,3781.496031746032
2011,2,36,6525.0
2011,2,39,3586.1757812499995
2011,2,42,4397.177083333333
2011,2,57,3937.505578695433
2011,2,68,3600.0
2011,2,75,5143.670704743285
2011,2,86,4924.479166666666
2011,3,28,6525.0
2011,3,36,4646.666666666667
2011,3,42,5682.555852644087
2011,3,50,4315.350381613322
2011,3,56,4032.5
2011,3,57,4546.945718088536
2011,3,61,4414.5
2011,3,65,4603.435741582878
2011,3,75,5072.339646464646
2011,3,86,5870.607142857143
2011,4,9,3125.0
2011,4,14,3808.59232492032
2011,4,25,3652.3282967032965
2011,4,29,4171.364252645503
2011,4,36,4014.023088023088
2011,4,43,4567.493279197201
2011,4,46,4466.60006450693
2011,4,47,4237.232142857143
2011,4,51,4104.694961795134
2011,4,52,3327.130325814536
2011,4,57,3478.1025697149385
2011,4,58,4230.517165275673
2011,4,66,4426.750638264595
2011,4,67,4349.47619047619
2011,4,74,4644.155340876144
2011,4,90,5563.333333333333
2011,5,4,3193.703394096006
2011,5,48,5068.46272599949
2011,5,49,4693.504141947631
2011,5,53,4734.6535409035405
2011,5,56,5019.252809992574
2011,5,57,4644.112569773375
2011,5,62,4310.1875
2011,5,64,4852.611334161687
2011,5,65,4609.318181818182
2011,5,69,4988.605352313591
2011,5,76,5127.113839285714
2011,7,26,4892.733225108225
2011,7,57,4830.982165590588
2011,7,65,4453.320965367966
2011,7,70,4811.1459844907495
2011,8,39,4699.546051222345
2011,8,44,4388.078619528619
2011,8,45,6005.0
2011,8,55,3989.213564213564
2011,8,57,4430.480584427859
2011,8,67,4562.032433862434
2011,9,24,4155.0
2011,9,57,4528.105337822419
2011,9,65,4836.152127471535
2011,9,70,4791.942327132908
2011,10,9,4795.729166666666
2011,10,57,4657.116371690462
2011,10,63,5703.666666666668
2011,10,65,4793.711354465647
2011,10,70,4593.713124932682
2011,10,71,5991.666666666668
2012,0,15,3444.79797979798
2012,0,29,3600.0
2012,0,34,3350.0
2012,0,56,3410.208333333333
2012,0,57,3781.4341699966703
2012,1,9,4009.68441935991
2012,1,15,3975.0
2012,1,18,3487.5
2012,1,19,3750.0
2012,1,20,3660.3333333333335
2012,1,21,3433.333333333333
2012,1,22,3300.0
2012,1,24,4035.0
2012,1,27,3499.895833333333
2012,1,29,3841.898127550281
2012,1,30,3873.0
2012,1,32,3723.6413959018973
2012,1,34,3557.240687883545
2012,1,35,3601.6666666666665
2012,1,38,3880.0
2012,1,44,3358.3333333333335
2012,1,45,3538.8
2012,1,48,3723.2081014223872
2012,1,50,3808.8541666666665
2012,1,51,3880.0
2012,1,52,4150.0
2012,1,53,3534.7357142857145
2012,1,54,3586.6666666666665
2012,1,56,3647.5063890588817
2012,1,57,3582.225554255686
2012,1,59,3657.9666666666662
2012,1,63,3729.0
2012,1,65,3441.4476822420006
2012,1,69,3833.0
2012,1,75,3500.0
2012,1,76,3586.5650738150734
2012,1,86,3400.0
2012,1,90,3400.0
2012,2,29,3552.1568956220985
2012,2,34,4468.0280830280835
2012,2,39,3615.8292767174357
2012,2,57,3843.233393632072
2012,2,68,4132.503703703704
2012,2,75,4619.059343434343
2012,2,86,4614.583333333334
2012,3,50,3761.066917010533
2012,3,56,3765.833333333333
2012,3,57,3789.933106705575
2012,3,61,3980.4554424333837
2012,3,63,4148.459788359789
2012,3,65,3805.0636286904687
2012,3,75,4117.029608075053
2012,3,86,4525.7574653881475
2012,4,8,4600.0
2012,4,25,4189.476190476191
2012,4,29,3808.382215986408
2012,4,31,3720.9389328808443
2012,4,36,3947.739583333333
2012,4,43,4125.525641025642
2012,4,46,3935.1579573934832
2012,4,47,3999.419246031746
2012,4,51,3834.9106919320193
2012,4,52,3415.7828054298648
2012,4,57,3953.7936918671385
2012,4,58,3899.9547877341756
2012,4,66,4001.112443189661
2012,4,67,3838.159090909091
2012,4,74,4184.755811013441
2012,4,90,4341.875
2012,5,4,3203.34693877551
2012,5,16,3566.376401376401
2012,5,27,4024.0610644257704
2012,5,48,3611.9934463684463
2012,5,49,4327.391304347826
2012,5,56,4235.733831620212
2012,5,57,4014.8748551333374
2012,5,58,4300.0
2012,5,64,4020.673630920692
2012,5,65,3936.7704592018054
2012,5,76,4096.8569023569025
2012,7,57,4122.5953199775995
2012,7,65,4489.4226584022035
2012,7,70,4041.079714978342
2012,8,39,3842.3893203830016
2012,8,44,3704.5154914529912
2012,8,50,3953.993859649123
2012,8,55,4622.083333333333
2012,8,57,3807.958040873833
2012,8,60,3483.3333333333335
2012,8,67,3907.44001351781
2012,8,71,3700.0
2012,8,86,3400.0
2012,9,24,4775.666666666667
2012,9,57,3927.3138905167325
2012,9,65,4558.561072119809
2012,9,70,4111.155616543144
2012,10,9,4314.96228956229
2012,10,24,4300.0
2012,10,57,4164.029897279912
2012,10,65,4481.225845730245
2012,10,66,3735.875
2012,10,70,3928.0026738968077
2013,0,15,4033.3571428571427
2013,0,29,3887.9629629629626
2013,0,56,3946.6666666666665
2013,0,57,4059.369633838384
2013,1,5,3750.0
2013,1,9,4345.022256544175
2013,1,20,3893.238095238095
2013,1,29,3984.037778665779
2013,1,33,4100.0
2013,1,34,3785.714285714286
2013,1,35,4095.4545454545455
2013,1,44,3662.5
2013,1,45,3937.5
2013,1,48,3050.0
2013,1,51,3550.0
2013,1,52,4000.0
2013,1,53,3650.0
2013,1,54,3200.0
2013,1,56,3685.444692460317
2013,1,57,3771.6275244325293
2013,1,65,3504.688195912615
2013,1,69,3250.0
2013,1,70,3875.0
2013,2,29,4298.798291904174
2013,2,39,4425.908747337318
2013,2,45,5692.5
2013,2,55,6525.0
2013,2,57,4366.14553632038
2013,2,60,3700.0
2013,2,68,4637.6290935094985
2013,2,75,5068.333333333333
2013,2,86,5158.922076600649
2013,3,39,4561.714285714285
