state,variety,Month,Year,Actual Price,Predicted Prices
Karnataka,LD-327,01,2021,5858.666666666667,5771.175460104134
Karnataka,LD-327,02,2021,5099.0,5286.286770833334
Karnataka,LD-327,03,2021,5242.5,5482.254042823584
Karnataka,LD-327,04,2021,5453.166666666667,5457.785780573593
Karnataka,LD-327,05,2021,5612.0,5321.589577373068
Karnataka,LD-327,06,2021,5805.0,5702.0889177305535
Karnataka,LH-1556,01,2021,5567.111111111111,5626.757155600588
Karnataka,LH-1556,02,2021,5814.315789473684,5767.419416042188
Karnataka,LH-1556,03,2021,5799.666666666667,5804.594732388795
Karnataka,LH-1556,04,2021,5802.9473684210525,5740.79757020714
Karnataka,LH-1556,05,2021,5960.0,5865.6229608515005
Karnataka,LH-1556,06,2021,6564.117647058823,6398.196524152931
Karnataka,LH-1556,07,2021,6518.333333333333,6336.378294986264
