Production_Year,Month,States_In_Number,Variety_Rank,Modal Price
2021,4,5,78,5818.0
2021,4,5,78,6003.0
2021,4,5,78,5975.0
2021,4,5,78,5953.0
2021,4,5,78,5625.0
2021,4,5,78,5563.0
2021,4,5,78,5753.0
2021,1,5,84,5315.0
2021,1,5,84,5345.0
2021,1,5,84,5383.0
2021,1,5,84,5350.0
2021,1,5,84,5378.0
2021,1,5,84,5405.0
2021,1,5,84,5388.0
2021,1,5,84,5405.0
2021,1,5,84,5438.0
2021,1,5,84,5413.0
2021,1,5,84,5400.0
2021,1,5,84,5373.0
2021,1,5,84,5310.0
2021,1,5,84,5488.0
2021,1,5,84,5400.0
2021,1,5,84,5325.0
2021,1,5,84,5378.0
2021,1,5,84,5483.0
2021,1,5,84,5390.0
2021,1,5,84,5495.0
2021,1,5,84,5438.0
2021,1,5,84,5375.0
2021,1,5,84,5353.0
2021,1,5,84,5330.0
2021,2,5,84,5288.0
2021,2,5,84,5125.0
2021,2,5,84,5240.0
2021,2,5,84,5375.0
2021,2,5,84,5203.0
2021,2,5,84,5538.0
2021,2,5,84,5505.0
2021,2,5,84,5475.0
2021,2,5,84,5525.0
2021,2,5,84,5438.0
2021,2,5,84,5538.0
2021,2,5,84,5553.0
2021,2,5,84,5413.0
2021,2,5,84,5483.0
2021,2,5,84,5470.0
2021,2,5,84,5400.0
2021,2,5,84,5650.0
2021,2,5,84,5578.0
2021,2,5,84,5550.0
2021,2,5,84,5800.0
2021,2,5,84,5878.0
2021,2,5,84,5888.0
2021,2,5,84,5875.0
2021,2,5,84,5875.0
2021,3,5,84,5813.0
2021,3,5,84,5788.0
2021,3,5,84,5838.0
2021,3,5,84,5713.0
2021,3,5,84,5763.0
2021,3,5,84,5775.0
2021,3,5,84,5900.0
2021,3,5,84,5890.0
2021,3,5,84,5850.0
2021,3,5,84,5950.0
2021,3,5,84,5900.0
2021,3,5,84,6003.0
2021,3,5,84,5975.0
2021,3,5,84,5928.0
2021,3,5,84,5753.0
2021,3,5,84,5688.0
2021,3,5,84,5713.0
2021,3,5,84,5765.0
2021,3,5,84,5575.0
2021,4,5,84,5425.0
2021,4,5,84,5700.0
2021,4,5,84,5705.0
2021,4,5,84,5838.0
2021,4,5,84,5450.0
2021,4,5,84,5513.0
2021,4,5,84,5600.0
2021,5,5,84,6088.0
2021,5,5,84,5900.0
2021,5,5,84,5990.0
2021,5,5,84,6030.0
2021,5,5,84,6188.0
2021,6,5,84,6090.0
2021,6,5,84,6110.0
2021,6,5,84,6500.0
2021,6,5,84,6138.0
2021,1,5,57,5600.0
2021,1,5,57,5395.0
2021,1,5,57,5365.0
2021,1,5,57,5075.0
2021,1,5,57,5280.0
2021,1,5,57,5235.0
2021,1,5,57,5460.0
2021,1,5,57,5210.0
2021,1,5,57,5440.0
2021,1,5,57,5405.0
2021,1,5,57,5525.0
2021,2,5,57,5025.0
2021,2,5,57,5350.0
2021,2,5,57,5500.0
2021,2,5,57,5645.0
2021,2,5,57,5830.0
2021,2,5,57,5785.0
2021,2,5,57,5605.0
2021,2,5,57,5850.0
2021,2,5,57,5750.0
2021,2,5,57,5905.0
2021,2,5,57,5830.0
2021,2,5,57,5750.0
2021,2,5,57,6025.0
2021,2,5,57,5900.0
2021,2,5,57,6115.0
2021,3,5,57,5450.0
2021,3,5,57,5625.0
2021,3,5,57,6075.0
2021,3,5,57,5865.0
2021,3,5,57,5750.0
2021,3,5,57,5500.0
2021,3,5,57,5980.0
2021,3,5,57,5750.0
2021,3,5,57,5250.0
2021,1,5,57,5175.0
2021,1,5,57,5130.0
2021,1,5,57,5105.0
2021,1,5,57,5110.0
2021,1,5,57,5255.0
2021,1,5,57,5225.0
2021,1,5,57,5355.0
2021,1,5,57,5290.0
2021,1,5,57,5255.0
2021,1,5,57,5280.0
2021,1,5,57,5325.0
2021,1,5,57,5300.0
2021,1,5,57,5195.0
2021,1,5,57,5195.0
2021,1,5,57,5350.0
2021,1,5,57,5395.0
2021,1,5,57,5240.0
2021,1,5,57,5255.0
2021,2,5,57,5225.0
2021,2,5,57,5100.0
2021,2,5,57,5000.0
2021,2,5,57,5105.0
2021,2,5,57,5225.0
2021,2,5,57,5315.0
2021,2,5,57,5200.0
2021,2,5,57,5405.0
2021,1,5,81,5417.5
2021,1,5,81,5477.5
2021,1,5,81,5460.0
2021,1,5,81,5290.0
2021,1,5,81,5447.5
2021,1,5,81,5412.5
2021,1,5,81,5437.5
2021,1,5,81,5462.5
2021,1,5,81,5455.0
2021,1,5,81,5482.5
2021,1,5,81,5677.5
2021,1,5,81,5615.0
2021,1,5,81,5502.5
2021,1,5,81,5517.5
2021,1,5,81,5542.5
2021,1,5,81,5620.0
2021,1,5,81,5580.0
2021,1,5,81,5602.5
2021,1,5,81,5587.5
2021,1,5,81,5637.5
2021,1,5,81,5475.0
2021,1,5,81,5475.0
2021,2,5,81,5475.0
2021,2,5,81,5512.5
2021,2,5,81,5500.0
2021,2,5,81,5455.0
2021,2,5,81,5522.5
2021,2,5,81,5550.0
2021,2,5,81,5652.5
2021,2,5,81,5877.5
2021,2,5,81,5832.5
2021,2,5,81,5677.5
2021,2,5,81,5690.0
2021,2,5,81,5700.0
2021,2,5,81,5812.5
2021,2,5,81,5925.0
2021,2,5,81,5842.5
2021,2,5,81,5815.0
2021,2,5,81,5850.0
2021,2,5,81,5800.0
2021,2,5,81,5780.0
2021,2,5,81,5702.5
2021,2,5,81,5777.5
2021,2,5,81,5652.5
2021,3,5,81,5800.0
2021,3,5,81,6010.0
2021,3,5,81,5892.5
2021,3,5,81,5840.0
2021,1,5,81,5430.0
2021,1,5,81,5375.0
2021,1,5,81,5400.0
2021,1,5,81,5425.0
2021,1,5,81,5500.0
2021,1,5,81,5470.0
2021,1,5,81,5382.5
2021,1,5,81,5430.0
2021,1,5,81,5500.0
2021,1,5,81,5492.5
2021,1,5,81,5500.0
2021,1,5,81,5432.5
2021,1,5,81,5442.5
2021,1,5,81,5430.0
2021,1,5,81,5407.5
2021,1,5,81,5487.5
2021,1,5,81,5562.5
2021,1,5,81,5505.0
2021,1,5,81,5537.5
2021,1,5,81,5517.5
2021,1,5,81,5612.5
2021,1,5,81,5450.0
2021,2,5,81,5465.0
2021,2,5,81,5362.5
2021,2,5,81,5462.5
2021,2,5,81,5415.0
2021,2,5,81,5357.5
2021,2,5,81,5390.0
2021,2,5,81,5440.0
2021,2,5,81,5537.5
2021,2,5,81,5687.5
2021,2,5,81,5725.0
2021,2,5,81,5650.0
2021,2,5,81,5065.0
2021,2,5,81,5420.0
2021,2,5,81,5462.5
2021,2,5,81,5227.5
2021,2,5,81,5440.0
2021,2,5,81,5825.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,4600.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,4900.0
2021,1,5,57,4600.0
2021,1,5,57,5000.0
2021,1,5,57,4600.0
2021,1,5,57,4600.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,4600.0
2021,1,5,57,4600.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,4800.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,1,5,57,5000.0
2021,2,5,57,5000.0
2021,2,5,57,4900.0
2021,2,5,57,4900.0
2021,2,5,57,4800.0
2021,2,5,57,4800.0
2021,2,5,57,4900.0
2021,2,5,57,4900.0
2021,2,5,57,4800.0
2021,2,5,57,5000.0
2021,2,5,57,5000.0
2021,2,5,57,5000.0
2021,2,5,57,4900.0
2021,2,5,57,4900.0
2021,2,5,57,4900.0
2021,2,5,57,4800.0
2021,2,5,57,4900.0
2021,2,5,57,4900.0
2021,2,5,57,4600.0
2021,2,5,57,4600.0
2021,2,5,57,4800.0
2021,2,5,57,4800.0
2021,2,5,57,5000.0
2021,2,5,57,4900.0
2021,2,5,57,4800.0
2021,3,5,57,4800.0
2021,3,5,57,4800.0
2021,3,5,57,5000.0
2021,3,5,57,4900.0
2021,3,5,57,4800.0
